Date,Temperature,Uncertainty,State,Country
7/1/1973,28.04,0.41,Andaman And Nicobar,India
8/1/1973,27.84,0.327,Andaman And Nicobar,India
9/1/1973,27.59,0.555,Andaman And Nicobar,India
10/1/1973,27.38,0.407,Andaman And Nicobar,India
11/1/1973,26.97,0.198,Andaman And Nicobar,India
12/1/1973,26.32,0.386,Andaman And Nicobar,India
1/1/1974,25.3,0.497,Andaman And Nicobar,India
2/1/1974,26.29,0.335,Andaman And Nicobar,India
3/1/1974,27.58,0.308,Andaman And Nicobar,India
4/1/1974,28.26,0.25,Andaman And Nicobar,India
5/1/1974,28.13,0.309,Andaman And Nicobar,India
6/1/1974,27.98,0.29,Andaman And Nicobar,India
7/1/1974,27.93,0.37,Andaman And Nicobar,India
8/1/1974,28.04,0.38,Andaman And Nicobar,India
9/1/1974,27.59,0.885,Andaman And Nicobar,India
10/1/1974,27.34,0.754,Andaman And Nicobar,India
11/1/1974,27.49,0.358,Andaman And Nicobar,India
12/1/1974,27.12,0.65,Andaman And Nicobar,India
1/1/1975,26.98,0.614,Andaman And Nicobar,India
2/1/1975,26.85,0.478,Andaman And Nicobar,India
3/1/1975,27.97,0.373,Andaman And Nicobar,India
4/1/1975,28.84,0.796,Andaman And Nicobar,India
5/1/1975,28.6,0.794,Andaman And Nicobar,India
6/1/1975,27.78,0.345,Andaman And Nicobar,India
7/1/1975,27.7,0.398,Andaman And Nicobar,India
8/1/1975,27.96,0.391,Andaman And Nicobar,India
9/1/1975,27.18,0.315,Andaman And Nicobar,India
10/1/1975,27.2,0.302,Andaman And Nicobar,India
11/1/1975,26.98,0.732,Andaman And Nicobar,India
12/1/1975,26.05,0.752,Andaman And Nicobar,India
1/1/1976,25.96,1.269,Andaman And Nicobar,India
2/1/1976,26.06,0.637,Andaman And Nicobar,India
3/1/1976,27.45,0.422,Andaman And Nicobar,India
4/1/1976,28.37,0.49,Andaman And Nicobar,India
5/1/1976,27.85,0.308,Andaman And Nicobar,India
6/1/1976,27.74,0.324,Andaman And Nicobar,India
7/1/1976,27.78,0.646,Andaman And Nicobar,India
8/1/1976,27.53,0.501,Andaman And Nicobar,India
9/1/1976,27.51,0.256,Andaman And Nicobar,India
10/1/1976,27.44,0.486,Andaman And Nicobar,India
11/1/1976,27.53,0.32,Andaman And Nicobar,India
12/1/1976,26.8,0.564,Andaman And Nicobar,India
1/1/1977,26.15,0.57,Andaman And Nicobar,India
2/1/1977,26.8,0.304,Andaman And Nicobar,India
3/1/1977,27.77,0.71,Andaman And Nicobar,India
4/1/1977,28.76,0.294,Andaman And Nicobar,India
5/1/1977,28.57,0.578,Andaman And Nicobar,India
6/1/1977,28.31,0.389,Andaman And Nicobar,India
7/1/1977,28.09,0.363,Andaman And Nicobar,India
8/1/1977,27.78,0.465,Andaman And Nicobar,India
9/1/1977,27.52,0.569,Andaman And Nicobar,India
10/1/1977,27.2,0.265,Andaman And Nicobar,India
11/1/1977,27.4,0.327,Andaman And Nicobar,India
12/1/1977,27.18,0.311,Andaman And Nicobar,India
1/1/1978,26.5,1.638,Andaman And Nicobar,India
2/1/1978,27.1,0.989,Andaman And Nicobar,India
3/1/1978,27.48,1.162,Andaman And Nicobar,India
4/1/1978,28.78,0.485,Andaman And Nicobar,India
5/1/1978,28.66,0.284,Andaman And Nicobar,India
6/1/1978,27.77,0.945,Andaman And Nicobar,India
7/1/1978,27.52,0.56,Andaman And Nicobar,India
8/1/1978,28.07,0.477,Andaman And Nicobar,India
9/1/1978,27.58,0.354,Andaman And Nicobar,India
10/1/1978,27.47,0.516,Andaman And Nicobar,India
11/1/1978,27.74,0.26,Andaman And Nicobar,India
12/1/1978,27.5,0.56,Andaman And Nicobar,India
1/1/1979,27.49,0.282,Andaman And Nicobar,India
2/1/1979,27.38,0.489,Andaman And Nicobar,India
3/1/1979,28.42,0.26,Andaman And Nicobar,India
4/1/1979,29.26,0.713,Andaman And Nicobar,India
5/1/1979,29.1,0.505,Andaman And Nicobar,India
6/1/1979,28.7,0.461,Andaman And Nicobar,India
7/1/1979,28.12,0.329,Andaman And Nicobar,India
8/1/1979,28.49,0.368,Andaman And Nicobar,India
9/1/1979,27.63,0.238,Andaman And Nicobar,India
10/1/1979,27.64,0.212,Andaman And Nicobar,India
11/1/1979,27.87,0.618,Andaman And Nicobar,India
12/1/1979,27.54,0.313,Andaman And Nicobar,India
1/1/1980,26.94,0.193,Andaman And Nicobar,India
2/1/1980,27.25,0.353,Andaman And Nicobar,India
3/1/1980,28.23,0.632,Andaman And Nicobar,India
4/1/1980,29.36,0.269,Andaman And Nicobar,India
5/1/1980,28.87,0.496,Andaman And Nicobar,India
6/1/1980,27.92,0.326,Andaman And Nicobar,India
7/1/1980,27.83,0.58,Andaman And Nicobar,India
8/1/1980,27.68,0.366,Andaman And Nicobar,India
9/1/1980,27.71,0.172,Andaman And Nicobar,India
10/1/1980,27.35,0.2,Andaman And Nicobar,India
11/1/1980,27.67,0.37,Andaman And Nicobar,India
12/1/1980,27.23,0.554,Andaman And Nicobar,India
1/1/1981,26.44,0.319,Andaman And Nicobar,India
2/1/1981,27.09,0.61,Andaman And Nicobar,India
3/1/1981,28.26,0.357,Andaman And Nicobar,India
4/1/1981,28.58,0.458,Andaman And Nicobar,India
5/1/1981,28.71,0.484,Andaman And Nicobar,India
6/1/1981,27.93,0.556,Andaman And Nicobar,India
7/1/1981,27.96,0.283,Andaman And Nicobar,India
8/1/1981,27.81,0.399,Andaman And Nicobar,India
9/1/1981,27.47,0.221,Andaman And Nicobar,India
10/1/1981,27.57,0.328,Andaman And Nicobar,India
11/1/1981,27.49,0.311,Andaman And Nicobar,India
12/1/1981,26.64,0.274,Andaman And Nicobar,India
1/1/1982,26.36,0.321,Andaman And Nicobar,India
2/1/1982,26.71,0.644,Andaman And Nicobar,India
3/1/1982,27.75,0.555,Andaman And Nicobar,India
4/1/1982,28.63,0.512,Andaman And Nicobar,India
5/1/1982,28.74,0.412,Andaman And Nicobar,India
6/1/1982,27.8,0.268,Andaman And Nicobar,India
7/1/1982,27.68,0.315,Andaman And Nicobar,India
8/1/1982,27.67,0.191,Andaman And Nicobar,India
9/1/1982,27.27,0.582,Andaman And Nicobar,India
10/1/1982,26.99,0.474,Andaman And Nicobar,India
11/1/1982,27.6,0.637,Andaman And Nicobar,India
12/1/1982,26.55,0.361,Andaman And Nicobar,India
1/1/1983,26.85,0.228,Andaman And Nicobar,India
2/1/1983,27.28,0.589,Andaman And Nicobar,India
3/1/1983,28.2,0.804,Andaman And Nicobar,India
4/1/1983,29.36,0.663,Andaman And Nicobar,India
5/1/1983,29.48,0.316,Andaman And Nicobar,India
6/1/1983,28.44,0.268,Andaman And Nicobar,India
7/1/1983,27.94,0.465,Andaman And Nicobar,India
8/1/1983,27.79,0.353,Andaman And Nicobar,India
9/1/1983,27.17,0.204,Andaman And Nicobar,India
10/1/1983,26.94,0.25,Andaman And Nicobar,India
11/1/1983,27.01,0.227,Andaman And Nicobar,India
12/1/1983,26.54,0.235,Andaman And Nicobar,India
1/1/1984,26.52,0.218,Andaman And Nicobar,India
2/1/1984,27.68,0.972,Andaman And Nicobar,India
3/1/1984,27.61,0.523,Andaman And Nicobar,India
4/1/1984,28.88,0.498,Andaman And Nicobar,India
5/1/1984,28.54,0.207,Andaman And Nicobar,India
6/1/1984,27.78,0.453,Andaman And Nicobar,India
7/1/1984,27.46,0.402,Andaman And Nicobar,India
8/1/1984,28.18,0.32,Andaman And Nicobar,India
9/1/1984,27.35,0.284,Andaman And Nicobar,India
10/1/1984,27.26,0.285,Andaman And Nicobar,India
11/1/1984,27.69,0.298,Andaman And Nicobar,India
12/1/1984,26.98,0.481,Andaman And Nicobar,India
1/1/1985,27.27,0.263,Andaman And Nicobar,India
2/1/1985,27.23,0.309,Andaman And Nicobar,India
3/1/1985,28.12,0.521,Andaman And Nicobar,India
4/1/1985,28.92,0.36,Andaman And Nicobar,India
5/1/1985,28.74,0.474,Andaman And Nicobar,India
6/1/1985,27.62,0.326,Andaman And Nicobar,India
7/1/1985,27.61,0.382,Andaman And Nicobar,India
8/1/1985,27.77,0.305,Andaman And Nicobar,India
9/1/1985,27.25,0.24,Andaman And Nicobar,India
10/1/1985,26.96,0.245,Andaman And Nicobar,India
11/1/1985,27.09,0.249,Andaman And Nicobar,India
12/1/1985,27.06,0.419,Andaman And Nicobar,India
1/1/1986,26.46,0.703,Andaman And Nicobar,India
2/1/1986,26.73,0.331,Andaman And Nicobar,India
3/1/1986,27.93,0.408,Andaman And Nicobar,India
4/1/1986,28.9,0.174,Andaman And Nicobar,India
5/1/1986,28.29,0.448,Andaman And Nicobar,India
6/1/1986,27.93,0.705,Andaman And Nicobar,India
7/1/1986,27.93,0.28,Andaman And Nicobar,India
8/1/1986,27.89,0.325,Andaman And Nicobar,India
9/1/1986,27.61,0.64,Andaman And Nicobar,India
10/1/1986,27.24,0.399,Andaman And Nicobar,India
11/1/1986,27.4,0.296,Andaman And Nicobar,India
12/1/1986,27.49,0.229,Andaman And Nicobar,India
1/1/1987,27.01,0.317,Andaman And Nicobar,India
2/1/1987,26.8,0.474,Andaman And Nicobar,India
3/1/1987,28.16,0.853,Andaman And Nicobar,India
4/1/1987,29.47,0.825,Andaman And Nicobar,India
5/1/1987,29.4,0.235,Andaman And Nicobar,India
6/1/1987,29.08,0.62,Andaman And Nicobar,India
7/1/1987,29.07,1.112,Andaman And Nicobar,India
8/1/1987,28.05,0.533,Andaman And Nicobar,India
9/1/1987,28.21,0.92,Andaman And Nicobar,India
10/1/1987,28.01,1.029,Andaman And Nicobar,India
11/1/1987,28.02,0.534,Andaman And Nicobar,India
12/1/1987,27.12,0.56,Andaman And Nicobar,India
1/1/1988,27.1,0.423,Andaman And Nicobar,India
2/1/1988,27.93,0.604,Andaman And Nicobar,India
3/1/1988,28.47,0.998,Andaman And Nicobar,India
4/1/1988,29.1,0.369,Andaman And Nicobar,India
5/1/1988,28.83,0.335,Andaman And Nicobar,India
6/1/1988,28.29,0.391,Andaman And Nicobar,India
7/1/1988,28.01,0.258,Andaman And Nicobar,India
8/1/1988,28,0.308,Andaman And Nicobar,India
9/1/1988,27.15,0.281,Andaman And Nicobar,India
10/1/1988,27.24,0.484,Andaman And Nicobar,India
11/1/1988,26.83,0.291,Andaman And Nicobar,India
12/1/1988,26.6,0.357,Andaman And Nicobar,India
1/1/1989,26.57,1.32,Andaman And Nicobar,India
2/1/1989,26.07,0.985,Andaman And Nicobar,India
3/1/1989,27.27,1.107,Andaman And Nicobar,India
